NAME,TYPE,MAG,SIZE,RA,DEC
NGC4570,Galaxy,10.9,3.7',12 36.9,+07 15
NGC4596,Galaxy,10.4,4',12 39.9,+10 11
NGC4605,Galaxy,10.3,5.9',12 40.0,+61 36
NGC4618,Galaxy,10.8,4.2',12 41.6,+41 09
NGC4631,Galaxy,9.2,15.2',12 42.1,+32 32
NGC4636,Galaxy,9.5,5.9',12 42.8,+02 41
NGC4643,Galaxy,10.8,3.1',12 43.3,+01 59
NGC4654,Galaxy,10.5,5',12 43.9,+13 08
NGC4656,Galaxy,10.5,15.3',12 44.0,+32 10
NGC4660,Galaxy,11.2,2.1',12 44.5,+11 11
NGC4665,Galaxy,10.5,3.5',12 45.1,+03 03
NGC4666,Galaxy,10.7,4.5',12 45.1,-00 28
NGC4689,Galaxy,10.9,4.7',12 47.8,+13 46
NGC4697,Galaxy,9.2,6.2',12 48.6,-05 48
NGC4698,Galaxy,10.6,4',12 48.4,+08 29
NGC4699,Galaxy,9.5,3.8',12 49.0,-08 40
NGC4725,Galaxy,9.4,10.4',12 50.4,+25 30
NGC4753,Galaxy,9.9,5.1',12 52.4,-01 12
NGC4754,Galaxy,10.6,4.4',12 52.3,+11 19
NGC4762,Galaxy,10.3,8.6',12 52.9,+11 14
NGC4781,Galaxy,11.1,3.4',12 54.4,-10 32
NGC4800,Galaxy,11.5,1.6',12 54.6,+46 32
NGC4845,Galaxy,11.2,4.9',12 58.0,+01 35
NGC4856,Galaxy,10.5,3.9',12 59.4,-15 03
NGC4866,Galaxy,11.2,6.4',12 59.5,+14 10
NGC4889,Galaxy,11.5,2.8',13 00.1,+27 59
NGC4900,Galaxy,11.4,2.2',13 00.7,+02 30
NGC4902,Galaxy,10.9,2.9',13 01.0,-14 31
NGC4945,Galaxy,8.6,19.8',13 05.4,-49 28
NGC4958,Galaxy,10.7,3.9',13 05.8,-08 01
NGC4995,Galaxy,11.1,2.4',13 09.7,-07 50
NGC5005,Galaxy,9.8,5.8',13 10.9,+37 03
NGC5033,Galaxy,10.2,9.8',13 13.5,+36 36
NGC5053,cluster,9.8,8.9',13 16.5,+17 42
NGC5054,Galaxy,10.9,5.1',13 17.0,-16 38
NGC5068,Galaxy,10,7.3',13 18.9,-21 02
NGC5078,Galaxy,11,19.5',13 19.8,-27 25
NGC5102,Galaxy,9.6,8.6',13 22.0,-36 38
